2.559	0.02573354
6.66	0.06814979
16.859	0.16920581
30.038	0.30260689
47.278	0.46532627
61.82	0.58746457
79.308	0.68972756
102.41	0.73724438
126.91	0.70770523
149.09	0.65248616
175.75	0.58052321
200.02	0.52147554
223.93	0.47220457
250.34	0.42680277
277.62	0.38712403
300.1	0.36001244
327.99	0.33116422
352.94	0.30933732
373.18	0.29611007
396.77	0.2791435
422	0.26330991
450.79	0.24800909
474.53	0.23650414
497.89	0.22624439
581.71	0.19648689
760.53	0.1528335
995.43	0.12972501
1154.8	0.1188495
1360.2	0.11221869