Detector Output Voltage and Temperature relation	
T	V
K	V
353.75	2.79
351.95	2.86
350.45	2.92
348.15	3.04
346.95	3.13
345.75	3.24
343.95	3.4
343.15	3.48
342.15	3.55
341.45	3.63
340.85	3.68
339.95	3.76
339.55	3.8
339.25	3.85
338.85	3.91
338.15	3.98
337.65	4.03
336.25	4.21
335.95	4.23
335.25	4.31
334.55	4.43
333.85	4.51
332.95	4.62
332.05	4.73
330.75	4.9
329.75	5.03
329.15	5.11
328.35	5.22
327.05	5.38
326.55	5.43
326.05	5.5
325.55	5.52
324.55	5.67
323.75	5.76
323.25	5.8
322.45	5.92
321.85	5.99
321.35	6.04
320.85	6.1
320.35	6.15
319.45	6.24
318.65	6.32
318.05	6.39
317.25	6.46
316.65	6.52
316.15	6.55
315.55	6.63
315.05	6.67
314.65	6.71
313.95	6.79
313.45	6.83
312.85	6.87
312.35	6.91
311.85	6.95
311.35	6.99
310.85	7.01
310.35	7.03
309.65	7.07
309.15	7.09
308.65	7.11
307.95	7.15
307.25	7.18
306.15	7.22